,cuisine,id,ingredient_list
0,indian,23348,"minced ginger, garlic, oil, coriander powder, chickpeas, onions, chopped tomatoes, salt, lemon juice, fenugreek leaves, chili powder, cumin seed, ground cumin"
1,indian,18869,"chicken, chicken breasts"
2,indian,36405,"flour, rose essence, frying oil, powdered milk, ghee, sugar, baking powder"
3,indian,11494,"soda, ghee, sugar, khoa, maida flour, milk, oil"
4,indian,32675,"tumeric, garam masala, salt, chicken, curry leaves, water, ginger, cinnamon sticks, fresh spinach, crushed red pepper flakes, cumin seed, tomatoes, curry powder, garlic, onions"
5,indian,36429,"fresh ginger, ground red pepper, mustard seeds, tomato sauce, garam masala, red wine vinegar, chopped cilantro fresh, fat free less sodium chicken broth, pork tenderloin, diced tomatoes, canola oil, garlic powder, brown rice, onions"
6,indian,12444,"kaffir lime leaves, whole cloves, cardamom seeds, grated nutmeg, coconut milk, lemongrass, cinnamon, garlic, peanut oil, chicken, kosher salt, shallots, thai chile, rice, ground turmeric, fennel seeds, coriander seeds, ginger, candlenuts, cumin seed"
7,indian,15535,"chickpea flour, crushed red pepper flakes, cumin seed, cabbage, water, salt, boiling potatoes, red chili powder, garlic, onions, canola oil, cauliflower, fresh ginger, green chilies, ground turmeric"
8,indian,17659,"fresh spinach, ricotta cheese, ground coriander, ground cumin, fresh ginger root, garlic, dried red chile peppers, olive oil, coarse sea salt, sour cream, tomatoes, finely chopped onion, cilantro leaves, ground turmeric"
9,indian,24038,"low sodium vegetable broth, diced tomatoes, coconut milk, pepper, extra firm tofu, salt, onions, fresh ginger, garlic, chopped cilantro, curry powder, vegetable oil, carrots, basmati rice"
10,indian,40899,"coconut, water"
11,indian,33371,"water, green chilies, garlic paste, salt, ghee, whole wheat flour, oil, spinach, cilantro leaves"
12,indian,11853,"kale, garlic, curry powder, sweet potatoes, white kidney beans, tomato sauce, olive oil, yellow onion, minced ginger, light coconut milk"
13,indian,46100,"cauliflower, coriander powder, cilantro leaves, chopped tomatoes, vegetable oil, ground turmeric, red chili powder, potatoes, frozen peas, garam masala, salt"
14,indian,10131,"sweet chili sauce, ground cumin, lemon juice, plain yogurt, chopped cilantro fresh"
15,indian,35059,"nonfat italian dressing, peeled fresh ginger, boneless skinless chicken breast halves, curry powder, crushed red pepper, ground turmeric, olive oil, chopped onion, nonfat yogurt, low salt chicken broth"
16,indian,46905,"olive oil, sea salt, coconut milk, water, garam masala, ground coriander, basmati rice, cauliflower, fresh ginger, green chilies, onions, fresh cilantro, potatoes, scallions, cumin"
17,indian,45555,"tomato paste, water, ground coriander, kosher salt, jalapeno chilies, onions, white button mushrooms, olive oil, cooked white rice, chile powder, minced garlic, green onions, ground cumin"
18,indian,11254,"olive oil, kosher salt, chicken, curry powder, black pepper, carrots"
19,indian,17915,"fennel seeds, ground pepper, ginger, chopped cilantro, ground cumin, tumeric, potatoes, cayenne pepper, frozen peas, eggs, garam masala, crust, onions, kosher salt, vegetable stock, cumin seed, canola oil"
20,indian,47583,"plain yogurt, garlic, chopped cilantro, canola oil, black peppercorns, cinnamon, green cardamom, ground turmeric, cooked rice, ginger, brown cardamom, bone in chicken thighs, chile powder, kosher salt, yellow onion, serrano chile"
21,indian,21638,"rose water, blanched almonds, pistachio nuts, white sugar, half & half, ground cardamom, whole milk ricotta cheese, saffron"
22,indian,36492,"tumeric, seeds, chickpeas, water, purple onion, safflower oil, hot green chile, chopped cilantro, cayenne, salt"
23,indian,33278,"ground cloves, herbs, cinnamon, sauce, tofu sour cream, tofu, garam masala, chili powder, cardamom seeds, garlic cloves, ginger paste, almond butter, meat, cilantro, oil, onions, min, beef, spices, salt, almond milk, ground cumin"
24,indian,17345,"whole milk, saffron, fruit, ghee, sugar, rice, rose water, mango"
25,indian,42187,"oil, chili powder, ground turmeric, potatoes, mustard seeds, salt"
26,indian,3496,"red chili peppers, coriander seeds, lemon, oil, ground turmeric, curry leaves, coconut, fenugreek, garlic, mustard seeds, fish, fennel seeds, water, coriander powder, ginger, lemon juice, asafetida, tomatoes, tamarind, chili powder, salt, onions"
27,indian,17362,"fresh cilantro, jalapeno chilies, cayenne pepper, onions, tomato sauce, ground cashew, garlic, red bell pepper, green bell pepper, fresh ginger root, vegetable oil, carrots, frozen peas, curry powder, potatoes, salt, coconut milk"
28,indian,6187,"cauliflower, coconut oil, fresh ginger, garlic, cumin, clove, white onion, cinnamon, ghee, tomato paste, water, sea salt, brown basmati rice, red lentils, fresh spinach, garam masala, cardamom"
29,indian,11764,"coriander seeds, cilantro leaves, coconut milk, clove, ginger, cumin seed, ground turmeric, prawns, green chilies, onions, tamarind extract, salt, oil"
30,indian,8165,"diced tomatoes, onions, olive oil, garlic cloves, curry powder, vegetable broth, plain whole-milk yogurt, fresh ginger, lentils"
31,indian,30899,"red chili powder, capsicum, salt, lemon juice, masala, dinner rolls, potatoes, green peas, green chilies, onions, cauliflower, sugar, butter, cilantro leaves, carrots, tomatoes, lemon wedge, purple onion, oil, ground turmeric"
32,indian,43072,"garam masala, sauce, roasted garlic, peppercorns, sweetened coconut flakes, peanut oil, curry powder, flat iron steaks, ground cumin"
33,indian,35538,"yoghurt, mustard seeds, water, ground coriander, ghee, tumeric, salt, ground cayenne pepper, potatoes, cumin seed, frozen peas"
34,indian,19030,"plain yogurt, red pepper, cumin seed, chicken, vegetable shortening, meat tenderizer, ghee, fresh ginger root, paprika, ground cardamom, vegetable oil, garlic, lemon juice"
35,indian,19627,"water, chili powder, garlic, bay leaf, clove, coriander powder, ginger, rajma, ground turmeric, garam masala, cinnamon, salt, onions, tomatoes, potatoes, kasuri methi, oil"
36,indian,30489,"tomatoes, olive oil, cinnamon, vegetable broth, cumin, kosher salt, garbanzo beans, cilantro, onions, fennel seeds, curry powder, sweet potatoes, cauliflower florets, frozen peas, tomato sauce, fresh ginger, red pepper flakes, greek yogurt"
37,indian,28874,"cayenne, garlic, onions, water, vegetable oil, cilantro leaves, tomato paste, lemon wedge, salt, ground cumin, curry powder, ginger, shrimp"
38,indian,16317,"garam masala, hot chili powder, ginger root, fresh coriander, boneless skinless chicken breasts, cumin seed, tumeric, potatoes, natural yogurt, onions, chopped tomatoes, vegetable oil, garlic cloves"
39,indian,48706,"boneless chicken skinless thigh, garam masala, chili powder, onions, fenugreek leaves, water, cooking oil, garlic, tomato sauce, fresh ginger, half & half, salt, tandoori spices, nonfat yogurt, butter"
40,indian,1914,"milk, garam masala, paneer, oil, chopped tomatoes, bay leaves, green chilies, chopped cilantro, amchur, coriander powder, cayenne pepper, corn starch, tumeric, vegetables, ginger, cumin seed, asafetida"
41,indian,29897,"potatoes, ginger, mustard seeds, chopped tomatoes, chili powder, chickpeas, tumeric, sweet potatoes, cilantro leaves, ground cumin, garam masala, vegetable stock, garlic cloves"
42,indian,5867,"ground ginger, ground black pepper, ground cumin, sugar, cayenne pepper, ground cinnamon, paprika, saffron threads, kosher salt, ground coriander"
43,indian,21817,"dried thyme, extra-virgin olive oil, fat, salad, lemon, fine sea salt, field lettuce, garlic, ground white pepper, tandoori spices, hamachi fillets, vinaigrette"
44,indian,1163,"green chile, garlic, black mustard seeds, chopped cilantro, tomatoes, vegetable oil, cumin seed, coconut milk, mint leaves, cayenne pepper, lemon juice, corn kernels, salt, waxy potatoes"
45,indian,38112,"coarse salt, fenugreek, urad dal, potatoes, white rice, vegetable oil"
46,indian,48811,"milk, saffron, cardamom pods, almonds, sugar, basmati rice"
47,indian,47973,"salt, nonfat sweetened condensed milk, basmati rice, whole milk, mango, ground cardamom"
48,indian,43278,"lettuce, coarse salt, cayenne pepper, chopped fresh mint, ground cumin, pickled carrots, garlic, freshly ground pepper, naan, warm water, ground tumeric, sauce, chopped cilantro fresh, olive oil, greek style plain yogurt, cucumber, ground lamb"
49,indian,22286,"seeds, green chilies, peanuts, salt, carrots, curry leaves, green peas, cumin seed, potatoes, cilantro leaves, ghee"
50,indian,48218,"minced garlic, vegetable oil, chopped cilantro fresh, orzo pasta, jalape, curry powder, canned beef broth, ground lamb, tomatoes, peeled fresh ginger, ground cardamom"
51,indian,9803,"flour, warm water, chapati flour"
52,indian,11606,"hot red pepper flakes, vegetable oil, garlic cloves, plum tomatoes, green chile, coriander seeds, ginger, cinnamon sticks, tumeric, sherry vinegar, cumin seed, onions, clove, grated coconut, coarse sea salt, tamarind concentrate, large shrimp"
53,indian,33997,"fresh curry leaves, ginger, oil, basmati rice, eggplant, purple onion, wholemeal flour, olive oil, garlic, mustard seeds, fresh red chili, vegetable stock, yellow split peas, curry paste"
54,indian,47463,"water, tortillas, salt, onions, fresh ginger, jalapeno chilies, ground coriander, curry powder, extra firm tofu, cayenne pepper, ground cumin, tomatoes, gold potatoes, green peas, lemon juice"
55,indian,9664,"neutral oil, butter, salt, cumin, plain yogurt, paneer, onions, green chile, ginger, hot curry powder, spinach, garlic, chopped cilantro"
56,indian,10634,"eggs, salt, garam masala, ground coriander, fresh coriander, lamb, chilli paste, onions"
57,indian,44890,"fresh curry leaves, tamarind paste, mustard seeds, plain yogurt, salt, dried chile peppers, ground turmeric, vegetable oil, long-grain rice, cashew nuts, water, cumin seed, fresh lime juice"
58,indian,16531,"tomato paste, vegetables, cinnamon, bay leaf, ground turmeric, garlic paste, coriander powder, salt, onions, ground cumin, black peppercorns, garam masala, star anise, chicken pieces, ginger paste, clove, cream, chili powder, cardamom pods, cashew nuts"
59,indian,32758,"ground cinnamon, green lentil, garlic, cumin seed, tomato paste, red chili peppers, butter, cilantro leaves, onions, red kidney beans, red chili powder, yoghurt, salt, bay leaf, tomatoes, milk, ginger, green cardamom, canola oil"
60,indian,5246,"cilantro stems, white peppercorns, boneless chicken skinless thigh, dark brown sugar, fish sauce, garlic, ground turmeric, coriander seeds, oyster sauce"
61,indian,35188,"water, onions, clove, green chilies, basmati rice, cinnamon, frozen peas, kosher salt, ghee, ground cumin"
62,indian,19694,"garam masala, garlic, rice, tumeric, cilantro, red curry paste, coconut milk, tomato purée, butter, salt, brown lentils, sugar, ginger, cayenne pepper, onions"
63,indian,8665,"plain yogurt, vegetable oil, sweet peas, frozen chopped spinach, curry powder, garlic, ground cumin, pepper, red pepper flakes, onions, chicken broth, garbanzo beans, salt"
